Product Name,SKU,Category,Price (INR),Description
Wireless Headphones,ELE2000,Electronics,10063.69,A premium quality wireless headphones in the Electronics category. Great value for money.
Gaming Mouse,ELE2001,Electronics,11119.62,A premium quality gaming mouse in the Electronics category. Great value for money.
Bluetooth Speaker,ELE2002,Electronics,5789.8,A premium quality bluetooth speaker in the Electronics category. Great value for money.
Smartwatch,ELE2003,Electronics,14018.77,A premium quality smartwatch in the Electronics category. Great value for money.
Gaming Mouse,ELE2004,Electronics,5511.28,A premium quality gaming mouse in the Electronics category. Great value for money.
LED Monitor,ELE2005,Electronics,12153.06,A premium quality led monitor in the Electronics category. Great value for money.
USB Flash Drive,ELE2006,Electronics,3654.86,A premium quality usb flash drive in the Electronics category. Great value for money.
Smartwatch,ELE2007,Electronics,4800.68,A premium quality smartwatch in the Electronics category. Great value for money.
Wireless Headphones,ELE2008,Electronics,9126.89,A premium quality wireless headphones in the Electronics category. Great value for money.
Wireless Headphones,ELE2009,Electronics,3443.07,A premium quality wireless headphones in the Electronics category. Great value for money.
Wireless Headphones,ELE2010,Electronics,3423.65,A premium quality wireless headphones in the Electronics category. Great value for money.
LED Monitor,ELE2011,Electronics,14916.54,A premium quality led monitor in the Electronics category. Great value for money.
Wireless Headphones,ELE2012,Electronics,9723.39,A premium quality wireless headphones in the Electronics category. Great value for money.
USB Flash Drive,ELE2013,Electronics,5368.66,A premium quality usb flash drive in the Electronics category. Great value for money.
Wi-Fi Router,ELE2014,Electronics,14484.4,A premium quality wi-fi router in the Electronics category. Great value for money.
Board Game,TOY2015,Toys,1113.54,A premium quality board game in the Toys category. Great value for money.
Action Figure,TOY2016,Toys,1243.52,A premium quality action figure in the Toys category. Great value for money.
Dollhouse,TOY2017,Toys,1469.03,A premium quality dollhouse in the Toys category. Great value for money.
Toy Train,TOY2018,Toys,1159.39,A premium quality toy train in the Toys category. Great value for money.
Board Game,TOY2019,Toys,1067.16,A premium quality board game in the Toys category. Great value for money.
Board Game,TOY2020,Toys,1363.95,A premium quality board game in the Toys category. Great value for money.
Dollhouse,TOY2021,Toys,283.43,A premium quality dollhouse in the Toys category. Great value for money.
Remote Control Car,TOY2022,Toys,1268.84,A premium quality remote control car in the Toys category. Great value for money.
Lego Building Set,TOY2023,Toys,1256.36,A premium quality lego building set in the Toys category. Great value for money.
Toy Train,TOY2024,Toys,868.76,A premium quality toy train in the Toys category. Great value for money.
Puzzle Set,TOY2025,Toys,672.18,A premium quality puzzle set in the Toys category. Great value for money.
Remote Control Car,TOY2026,Toys,640.55,A premium quality remote control car in the Toys category. Great value for money.
